Slug,DisplayName
abram,"Chasins, Abram (1903-1987)"
adam-benard,Eugenie Adam-Benard (1861-1925)
adler,Clarence Adler (1886-1969)
alberto,"Nepomuceno, Alberto (1864-1920)"
alessandro,"Scarlatti, Alessandro (1660-1725)"
alexander,"Alabieff, Alexander (1787-1851)"
alfredo,"Casella, Alfredo (1883-1947)"
amy,"Beach, Amy (1867-1944)"
anatol,"Liadov, Anatol (1855-1914)"
ansorge,Konrad Ansorge (1862-1930)
anton,"Rubinstein, Anton (1829-1894)"
antonin,"Dvorak, Antonin (1841-1904)"
armbruster,Robert Armbruster (1897-1994)
arrau,Claudio Arrau (1903-1969)
backhaus,Wilhelm Backhaus (1884-1969)
balakirev,Mily Balakirev (1837-1910)
baldwin,Carolyne Cone Baldwin (1894-1946)
barth,Hans Barth (1897-1956)
bartok,Bela Bartok (1881-1945)
bauer,Harold Bauer (1873-1951)
bela,"Bartok, Bela (1881-1945)"
benjamin,"Godard, Benjamin (1849-1895)"
bloom,Rube Bloom (1902-1976)
borovsky,Alexander Borovsky (1889-1968)
bourne,Una Bourne (1882-1974)
boyle,George Frederick Boyle (1886-1948)
brailowsky,Alexander Brailowsky (1896-1976)
brard,Magdeleine Brard (1903-1998)
brockway,Howard Brockway (1870-1951)
buell,Dai Buell (1892-1939)
bufaletti,Federico Bufaletti (1866-1936)
busoni,Ferruccio Busoni (1866-1924)
cadman,Charles Cadman (1881-1946)
carl,"Bohm, Carl (1844-1920)"
carlos,"Valderrama, Carlos (1892-1950)"
carreno,Teresa Carreno (1853-1917)
carreras,Maria Carreras (1872-1966)
casella,Alfredo Casella (1883-1947)
cecile,"Chaminade, Cecile (1857-1944)"
cesar,"Cui, Cesar (1835-1918)"
chaminade,Cécile Chaminade (1857-1944)
charles,"Griffes, Charles (1884-1920)"
chasins,Abram Chasins (1903-1987)
christian,"Sinding, Christian (1856-1941)"
claude,"Debussy, Claude (1862-1918)"
conne,Paul de Conne (1874-1959)
cooper,Charles Cooper (1888-1971)
copeland,George Copeland (1882-1971)
cortot,Alfred Cortot (1877-1962)
cottlow,Augusta Cottlow (1878-1954)
cyril,"Scott, Cyril (1879-1970)"
dalbert,Eugen d'Albert (1864-1932)
darius,"Milhaud, Darius (1892-1974)"
davies,Fanny Davies (1861-1934)
de,"Falla, Manuel de (1876-1946)"
debussy,Claude Debussy (1862-1918)
dohnanyi,Ernst Dohnanyi (1877-1960)
domenico,"Scarlatti, Domenico (1685-1757)"
donahue,Lester Donahue (1892-1964)
dunhill,Dunhill (1877-1946)
echaniz,Jose Echaniz (1905-1969)
edvard,"Grieg, Edvard (1843-1907)"
edward,"Elgar (arr four hands) Elgar, Edward (1857-1934)"
emil,"Liebling, Emil (1851-1914)"
emmanuel,"Chabrier, Emmanuel (1841-1894)"
enrique,"Granados, Enrique (1867-1916)"
erich,"Korngold, Erich (1897-1957)"
erik,"Satie, Erik (1866-1925)"
ernesto,"Lecuona, Ernesto (1895-1963)"
falla,Manuel de Falla (1876-1946)
felix,"Mendelssohn, Felix (1809-1847)"
fischer,Edwin Fischer (1886-1960)
franz,"Schubert, Franz (1797-1828)"
frederic,"Chopin, Frédéric (1810-1849)"
frederick,"Delius, Frederick (1862-1934)"
frideric,"Handel, Georg Frideric (1685-1759)"
friedberg,Carl Friedberg (1872-1955)
friedheim,Arthur Friedheim (1859-1932)
friedman,Ignaz Friedman (1882-1948)
friml,Rudolf Friml (1879-1972)
fryer,Herbert Fryer (1877-1957)
gabriel,"Faure, Gabriel (1845-1924)"
ganz,Rudolph Ganz (1877-1972)
george,"Boyle, George (1886-1948)"
georges,"Bizet, Georges (1838-1875)"
gieseking,Walter Gieseking (1895-1956)
gioachino,"Rossini, Gioachino (1792-1868)"
giovanni,"Sgambati, Giovanni (1841-1914)"
glazounov,Alexander Glazounov (1865-1936)
godowsky,Leopold Godowsky (1870-1938)
goodson,Katharine Goodson (1872-1958)
gordon,Phillip Gordon (1892-1951)
grainger,Percy Grainger (1882-1961)
granados,Enrique Granados (1867-1916)
grieg,Edvard Grieg (1843-1907)
gustav,"Mahler, Gustav (1860-1911)"
hambourg,Mark Hambourg (1879-1960)
harris,Tomford Harris (1904-1980)
heinemann,Kathe Heinemann (1891-1975)
hess,Myra Hess (1890-1965)
hoehn,Alfred Hoehn (1887-1945)
hofmann,Josef Hofmann (1876-1957)
horowitz,Vladimir Horowitz (1903-1989)
hugo,"Reinhold, Hugo (1854-1935)"
hutcheson,Ernest Hutcheson (1871-1951)
ignace,"Paderewski, Ignace (1860-1941)"
ignaz,"Friedman, Ignaz (1882-1948)"
igor,"Stravinsky, Igor (1882-1971)"
ireland,John Ireland (1879-1962)
isaac,"Albeniz, Isaac (1860-1909)"
iturbi,Jose Iturbi (1895-1980)
jacob,"Reinhardt, Jacob (1845-1919)"
jacques,"Ibert, Jacques (1890-1962)"
joachim,"Raff, Joachim (1822-1882)"
johannes,"Brahms, Johannes (1833-1897)"
john,"Field, John (1782-1837)"
jose,"Enigma Variations Part 1 Theme and variations 1-3 Elgar (arr four hands) Echaniz, Jose (1905-1969)"
kiek,Georges Kiek (1882-1972)
kleeberg,Clotilde Kleeberg (1866-1909)
kolessa,Ljubka Kolessa (1902-1997)
korngold,Erich Korngold (1897-1957)
kwast-hodapp,Frieda Kwast-Hodapp (1880-1949)
lamond,Frederic Lamond (1868-1948)
landow,Max Landow (1877-1960)
landowska,Wanda Landowska (1877-1959)
lecuona,Ernesto Lecuona (1895-1963)
leginska,Ethel Leginska (1886-1970)
leo,"Delibes, Leo (1836-1891)"
leopold,"Godowsky, Leopold (1870-1938)"
leschetizky,Theodor Leschetizky (1830-1915)
levitzki,Mischa Levitzki (1898-1941)
lhevinne,Josef Lhevinne (1874-1944)
liebling,Georg Liebling (1865-1946)
loesser,Arthur Loesser (1894-1969)
lortat,Robert Lortat (1885-1938)
m,"Steinfeldt, John M. (1864-1936)"
madriguera,Paquita Madriguera (1900-1965)
mahler,Gustav Mahler (1860-1911)
maier,Guy Maier (1892-1956)
manuel,"Ponce, Manuel (1882-1948)"
marshall,Frank Marshall (1883-1959)
maurice,"Ravel, Maurice (1875-1937)"
max,"Reger, Max (1873-1916)"
medtner,Nikolai Medtner (1880-1951)
mero,Yolanda Mero (1887-1963)
milhaud,Darius Milhaud (1892-1974)
modest,"Moussorgsky, Modest (1839-1881)"
moiseiwitsch,Benno Moiseiwitsch (1890-1963)
moritz,"Moszkowski, Moritz (1854-1925)"
moriz,"Rosenthal, Moriz (1862-1946)"
munz,Mieczyslaw Munz (1900-1976)
murdoch,William Murdoch (1888-1942)
muzio,"Clementi, Muzio (1752-1832)"
nathaniel,"Dett, Robert Nathaniel (1882-1943)"
neitzel,Otto Neitzel (1852-1920)
ney,Elly Ney (1882-1968)
nicolai,"Medtner, Nicolai (1880-1951)"
nicolo,"Paganini, Nicolò (1782-1840)"
novaes,Guiomar Novaes (1895-1979)
nyiregyhazi,Ervin Nyiregyhazi (1903-1987)
orloff,Nikolai Orloff (1892-1964)
ornstein,Leo Ornstein (1892-2002)
ottorino,"Respighi, Ottorino (1879-1936)"
pachmann,Vladimir de Pachmann (1848-1933)
paderewski,Ignace Paderewski (1860-1941)
pattison,Maier & Pattison Lee Pattison (1890-1966)
pauer,Max Pauer (1866-1945)
pembaur,"Josef, Jr. Pembaur (1875-1950)"
perrella,Harry Perrella (1900-1939)
peter,"Tchaikovsky, Peter (1840-1893)"
petri,Egon Petri (1881-1962)
plante,Francis Planté (1839-1934)
ponce,Manuel María Ponce (1882-1948)
pouishnoff,Leff Pouishnoff (1891-1959)
prokofiev,Sergei Prokofiev (1891-1953)
pugno,Raoul Pugno (1852-1914)
rachmaninoff,Sergei Rachmaninoff (1873-1943)
ravel,Maurice Ravel (1875-1937)
reger,Max Reger (1873-1916)
reinecke,Carl Reinecke (1824-1910)
reisenauer,Alfred Reisenauer (1863-1907)
reisenberg,Nadia Reisenberg (1904-1983)
respighi,Ottorino Respighi (1879-1936)
richard,"Strauss, Richard (1864-1949)"
robert,"Schumann, Robert (1810-1856)"
rosenthal,Moriz Rosenthal (1862-1946)
rube,"Bloom, Rube (1902-1976)"
rubinstein,Arthur Rubinstein (1887-1982)
rudolf,"Friml, Rudolf (1879-1972)"
saint-saens,Camille Saint-Saens (1835-1921)
samaroff,Olga Samaroff (1882-1948)
samuel,Harold Samuel (1879-1937)
scharrer,Irene Scharrer (1888-1971)
scharwenka,Xaver Scharwenka (1850-1924)
schelling,Ernest Schelling (1876-1939)
schmitz,E. Robert Schmitz (1889-1949)
schnabel,Artur Schnabel (1882-1951)
schumann,Georg Alfred Schumann (1866-1950)
scott,Cyril Scott (1879-1970)
scriabin,Alexander Scriabin (1872-1915)
selim,"Palmgren, Selim (1878-1951)"
sergei,"Bortkiewicz, Sergei (1877-1952)"
serkin,Rudolf Serkin (1903-1991)
sheridan,Frank Sheridan (1898-1962)
silber,Sidney Silber (1881-1959)
siloti,Alexander Siloti (1863-1945)
singer,Richard Singer (1879-1961)
sophie,"Menter, Sophie (1846-1918)"
soro,Enrique Soro (1884-1954)
souvaine,Henry Souvaine (1895-1954)
spross,Charles Gilbert Spross (1874-1961)
stavenhagen,Bernhard Stavenhagen (1862-1914)
steinfeldt,John M. Steinfeldt (1865-1946)
sternberg,Constantin Sternberg (1852-1924)
stravinsky,Igor Stravinsky (1882-1971)
suskind,Milton Suskind (1898-1975)
szumowska,Antoinette Szumowska (1868-1938)
theodor,"Leschetizky, Theodor (1830-1915)"
timanoff,Vera Timanoff (1855-1942)
tollefsen,Augusta Tollefsen (1885-1955)
valderrama,Carlos Valderrama (1892-1950)
vladimir,"Horowitz, Vladimir (1903-1989)"
volavy,Marguerite Volavy (1886-1951)
von,"Weber, Carl Maria von (1786-1826)"
von-dohnanyi,Ernst von Dohnanyi (1877-1960)
von-koczalski,Raoul von Koczalski (1885-1948)
von-sauer,Emil von Sauer (1862-1942)
von-zadora,Michael von Zadora (1882-1946)
w,"Guion, David W. (1892-1981)"
ware,"Orem, Preston Ware (1865-1938)"
zez,"Confrey, Zez (1895-1971)"
